French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
laisse,leash
ville,city
parlé,speak
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
